wallet,credit_score
0x9c29f1b4bdabeb3f18819763c7ba791558fb5d40,100.0
0xa50a05647b2d336667b6a9ef6c5c43bf12cce6b4,100.0
0xb616086f87478c5dc1c7ac1fa904ba934ea50e8f,100.0
0xe2818b0f45dd8182db1b2c74146c80da896e80b7,100.0
0x453fb67b7e91087661e0bd6852822d2177f29881,100.0
0x6774305359234f12e766e07f36462104f00ab0b2,100.0
0x56f9933e5e21c02c552b5b74c9caf5e6f40e1ead,100.0
0x28c97af57a1ebdacc14eb0e009db7036554113e1,100.0
0x0c5c53aaf01295ffaed785e6a65295e71e09c405,100.0
0x164ae4442390943f96961cf754fa3c810fe1a392,100.0
0x2592ad9dad0740714e8e0f555866f2020dc5ba5f,100.0
0x52a1b275dd789d6f5c9a727193e72e7ec5423a99,100.0
0xb4c227c5cf839bec9c28fa9bf44fd58cbd40984f,100.0
0x20ac31c218de7410f07020610e706f72f0ee4371,99.0
0x161fac24d54698755dab0fcd65e2c883928ca724,99.0
0x7c2b598e6df91f013a48e335e88e4524f93b9f0a,99.0
0x3f157248c1be4e3549af22eeae94c4ffc7f34d81,99.0
0xcd39c70f9df2a0d216c3a52c5a475914485a0625,99.0
0xff6451fb7aa37ea00cfb199f9c34ee2b5318ad8c,99.0
0xb6fdf070970bdca8aab2d9ca3cc8bd1d653a4ace,99.0
0xa2495fac7024f1c2c9255f8b67bc535d5405bb60,99.0
0xb2c75a7f19b684a6b2f0893af534e272001d4edd,99.0
0x6b52d07fc281c9834e17ffa893fc04f3babcffb2,99.0
0x5dce21236cef60f92be7b546182811fd48e0b62e,99.0
0x996cfec205e130bd121ba9ef7bef1d43e7b1ae51,99.0
0xedda67c057cc712d79356fd1ce31639abfb6c3b5,99.0
0x599a67ef94b22ef6a5eb957172ea79eb2b581caf,99.0
0xbf7abb7636ad59f47568ced4903169593dda6e09,99.0
0x5c1138c83567fc366022f3a67bccdd61412f50fa,99.0
0xbfc5561a0df30a3df1afc231c01c6038b1ae51f0,99.0
0xaaed8f7c0729f53479774dfe4c2502890db06a7e,98.0
0x807a74f40f8f41c9d46b6543951c615af66bb77a,98.0
0x4291e0bc36fb719fc681245a04b596ba0c88da42,98.0
0xc7e5f2f61d7612406e3b920b5ab743db4ea3253d,98.0
0x3d35d2a99a2471d87947075bc9e525633a63ed13,98.0
0xdc5d41d515b905f8887602205470aa8077ce9a5d,98.0
0xf1f70af82000fc839c8a382504303e8c46cbc1d1,98.0
0xeeb9c37797dbc50350bd2844d452dd83b74a72db,98.0
0xad18b370f7359bcb2ae510fd06e13dc749cbe19c,98.0
0x0f7981ae60708d4d64040999e463f106b13f07c5,98.0
0x8b349d17392f266d87d518bf71426b2921cc35ee,98.0
0xf60228e28badeefa4650331787387b17424e7676,98.0
0xb3f5fc411e8166689853657aa6bc0293e06cfd7d,98.0
0xdec2a15c96e912e5728a54acd5f6e9a9a52dcbc6,97.0
0x7a1fbccc781593de822e0547f8cdc6210c982d61,97.0
0x967b073201215cabbbc0f1c1f2b258683b495cb4,97.0
0x88cde8a66eecb6a183254b161fe5f01c9ed3bfe1,97.0
0x7365e5f456667348a563b0889bd000965901aaf3,97.0
0x75fb12c3514fe8d12e27717b01e979bc0e2fb492,97.0
0x238f746744bfbe1bfa95142ca6d0f6465985a9d8,97.0
0xf405ab9f6fcc82c22452c136740ed7833781aeec,97.0
0xd25586480e0419024aa3b4aff214bc8bf061fc87,97.0
0x8e6eec40ad86418fcb660022f6579ddd32fa2780,97.0
0x239873525f7ce94dabe5acc4e8bded38103a415b,97.0
0xd986005d25bfdb3fd216e58f5b9a09677832e6cd,97.0
0x49aebeb43a6619e4bc4313e5648f49be8bcc9963,97.0
0xbd98f0b51e01a7c22afa7046d847064a61d3fc3c,97.0
0x950cb6d8f4f78650ae968a7cd3674265a2e15096,97.0
0x6c5e32fa097e2c05f3e4bf539671cdcae0e22e0a,97.0
0xce2488776df6fa434cd5478e30ef67793ce018aa,96.0
0x4145b8a9b596981cafe78c20bf7a18466686a88d,96.0
0x8a982ac699aa380f0fe1924f4cac260f596a3774,96.0
